calibration,core,top_depth,bottom_depth,vwc,count_ratio
Dry,1,30,60,0.279,1.63
Dry,1,60,90,0.259,1.54
Dry,1,90,120,0.265,1.46
Dry,1,120,150,0.252,1.52
Dry,2,30,60,0.278,1.63
Dry,2,60,90,0.256,1.54
Dry,2,90,120,0.251,1.46
Dry,2,120,150,0.241,1.52
Dry,3,30,60,0.283,1.63
Dry,3,60,90,0.259,1.54
Dry,3,90,120,0.262,1.46
Dry,3,120,150,0.270,1.52
Wet,1,30,60,0.402,1.96
Wet,1,60,90,0.366,1.87
Wet,1,90,120,0.394,1.85
Wet,1,120,150,0.380,1.79
Wet,2,30,60,0.389,1.96
Wet,2,60,90,0.380,1.87
Wet,2,90,120,0.394,1.85
Wet,2,120,150,0.364,1.79
Wet,3,30,60,0.438,1.96
Wet,3,60,90,0.372,1.87
Wet,3,90,120,0.398,1.85
Wet,3,120,150,0.400,1.79