Year,State,Site,Textural_class,Replications,Treatments,N_Planting_kg_ha,N_Sidedress_kg_ha,N_Total_kg_ha,Yield_T_ha
2006,Illinois,Pad,Silt loam,1,1,0,0,0,3.26
2006,Illinois,Pad,Silt loam,1,3,36,0,36,4.15
2006,Illinois,Pad,Silt loam,1,5,36,54,90,8.64
2006,Illinois,Pad,Silt loam,1,7,36,107,143,10.52
2006,Illinois,Pad,Silt loam,1,9,36,161,197,11.47
2006,Illinois,Pad,Silt loam,2,1,0,0,0,4.7
2006,Illinois,Pad,Silt loam,2,3,36,0,36,4.88
2006,Illinois,Pad,Silt loam,2,5,36,54,90,8.89
2006,Illinois,Pad,Silt loam,2,7,36,107,143,10.39
2006,Illinois,Pad,Silt loam,2,9,36,161,197,12
2006,Illinois,Pad,Silt loam,3,1,0,0,0,6.54
2006,Illinois,Pad,Silt loam,3,3,36,0,36,6.53
2006,Illinois,Pad,Silt loam,3,5,36,54,90,9.47
2006,Illinois,Pad,Silt loam,3,7,36,107,143,10.56
2006,Illinois,Pad,Silt loam,3,9,36,161,197,11.57
2006,Illinois,Pad,Silt loam,4,1,0,0,0,4.92
2006,Illinois,Pad,Silt loam,4,3,36,0,36,10.04
2006,Illinois,Pad,Silt loam,4,5,36,54,90,9.57
2006,Illinois,Pad,Silt loam,4,7,36,107,143,10.45
2006,Illinois,Pad,Silt loam,4,9,36,161,197,10.89
2007,Illinois,Dixon,Silt loam,1,1,0,0,0,5.43
2007,Illinois,Dixon,Silt loam,1,3,36,0,36,9.34
2007,Illinois,Dixon,Silt loam,1,5,36,54,90,13.16
2007,Illinois,Dixon,Silt loam,1,7,36,107,143,13.38
2007,Illinois,Dixon,Silt loam,1,9,36,161,197,16.15
2007,Illinois,Dixon,Silt loam,2,1,0,0,0,7.13
2007,Illinois,Dixon,Silt loam,2,3,36,0,36,10.47
2007,Illinois,Dixon,Silt loam,2,5,36,54,90,13.33
2007,Illinois,Dixon,Silt loam,2,7,36,107,143,14.76
2007,Illinois,Dixon,Silt loam,2,9,36,161,197,13.95
2007,Illinois,Dixon,Silt loam,3,1,0,0,0,7.7
2007,Illinois,Dixon,Silt loam,3,3,36,0,36,10.05
2007,Illinois,Dixon,Silt loam,3,5,36,54,90,11.97
2007,Illinois,Dixon,Silt loam,3,7,36,107,143,13.22
2007,Illinois,Dixon,Silt loam,3,9,36,161,197,13.82
2007,Illinois,Dixon,Silt loam,4,1,0,0,0,7.09
2007,Illinois,Dixon,Silt loam,4,3,36,0,36,8.94
2007,Illinois,Dixon,Silt loam,4,5,36,54,90,12.66
2007,Illinois,Dixon,Silt loam,4,7,36,107,143,13.73
2007,Illinois,Dixon,Silt loam,4,9,36,161,197,14.57
2006,Kansas,Manhattan,Silt loam,1,1,0,0,0,5.4
2006,Kansas,Manhattan,Silt loam,1,3,36,0,36,6.55
2006,Kansas,Manhattan,Silt loam,1,5,36,54,90,8.29
2006,Kansas,Manhattan,Silt loam,1,7,36,107,143,10.45
2006,Kansas,Manhattan,Silt loam,1,9,36,161,197,8.66
2006,Kansas,Manhattan,Silt loam,2,1,0,0,0,6.39
2006,Kansas,Manhattan,Silt loam,2,3,36,0,36,6.73
2006,Kansas,Manhattan,Silt loam,2,5,36,54,90,10.05
2006,Kansas,Manhattan,Silt loam,2,7,36,107,143,10.5
2006,Kansas,Manhattan,Silt loam,2,9,36,161,197,9.18
2006,Kansas,Manhattan,Silt loam,3,1,0,0,0,6.43
2006,Kansas,Manhattan,Silt loam,3,3,36,0,36,7.52
2006,Kansas,Manhattan,Silt loam,3,5,36,54,90,9.59
2006,Kansas,Manhattan,Silt loam,3,7,36,107,143,10.65
2006,Kansas,Manhattan,Silt loam,3,9,36,161,197,11.02
2006,Kansas,Manhattan,Silt loam,4,1,0,0,0,5.5
2006,Kansas,Manhattan,Silt loam,4,3,36,0,36,8.02
2006,Kansas,Manhattan,Silt loam,4,5,36,54,90,9.58
2006,Kansas,Manhattan,Silt loam,4,7,36,107,143,11.7
2006,Kansas,Manhattan,Silt loam,4,9,36,161,197,9.98
2008,Kansas,Manhattan,Silt loam,1,1,0,0,0,4.19
2008,Kansas,Manhattan,Silt loam,1,3,36,0,36,4.41
2008,Kansas,Manhattan,Silt loam,1,5,36,54,90,7.07
2008,Kansas,Manhattan,Silt loam,1,7,36,107,143,10.7
2008,Kansas,Manhattan,Silt loam,1,9,36,161,197,12.21
2008,Kansas,Manhattan,Silt loam,2,1,0,0,0,3.49
2008,Kansas,Manhattan,Silt loam,2,3,36,0,36,4.77
2008,Kansas,Manhattan,Silt loam,2,5,36,54,90,7.03
2008,Kansas,Manhattan,Silt loam,2,7,36,107,143,10.36
2008,Kansas,Manhattan,Silt loam,2,9,36,161,197,11.63
2008,Kansas,Manhattan,Silt loam,3,1,0,0,0,3.13
2008,Kansas,Manhattan,Silt loam,3,3,36,0,36,5.33
2008,Kansas,Manhattan,Silt loam,3,5,36,54,90,7.76
2008,Kansas,Manhattan,Silt loam,3,7,36,107,143,9.69
2008,Kansas,Manhattan,Silt loam,3,9,36,161,197,11.65
2008,Kansas,Manhattan,Silt loam,4,1,0,0,0,3.07
2008,Kansas,Manhattan,Silt loam,4,3,36,0,36,2.47
2008,Kansas,Manhattan,Silt loam,4,5,36,54,90,5.32
2008,Kansas,Manhattan,Silt loam,4,7,36,107,143,9.74
2008,Kansas,Manhattan,Silt loam,4,9,36,161,197,11.17
2006,Missouri,Copeland,Silt loam,1,1,0,0,0,15.49
2006,Missouri,Copeland,Silt loam,1,3,36,0,36,13.25
2006,Missouri,Copeland,Silt loam,1,5,36,54,90,13.72
2006,Missouri,Copeland,Silt loam,1,7,36,107,143,13.34
2006,Missouri,Copeland,Silt loam,1,9,36,161,197,14.82
2006,Missouri,Copeland,Silt loam,2,1,0,0,0,12
2006,Missouri,Copeland,Silt loam,2,3,36,0,36,12.07
2006,Missouri,Copeland,Silt loam,2,5,36,54,90,13.16
2006,Missouri,Copeland,Silt loam,2,7,36,107,143,14.38
2006,Missouri,Copeland,Silt loam,2,9,36,161,197,14.27
2006,Missouri,Copeland,Silt loam,3,1,0,0,0,9.22
2006,Missouri,Copeland,Silt loam,3,3,36,0,36,13.92
2006,Missouri,Copeland,Silt loam,3,5,36,54,90,14.37
2006,Missouri,Copeland,Silt loam,3,7,36,107,143,15.49
2006,Missouri,Copeland,Silt loam,3,9,36,161,197,16.83
2006,Missouri,Copeland,Silt loam,4,1,0,0,0,15.78
2006,Missouri,Copeland,Silt loam,4,3,36,0,36,15.27
2006,Missouri,Copeland,Silt loam,4,5,36,54,90,14.62
2006,Missouri,Copeland,Silt loam,4,7,36,107,143,14.18
2006,Missouri,Copeland,Silt loam,4,9,36,161,197,15.9
2006,Missouri,Diederick,Silty clay,1,1,0,0,0,6.77
2006,Missouri,Diederick,Silty clay,1,3,36,0,36,9.91
2006,Missouri,Diederick,Silty clay,1,5,36,54,90,6.17
2006,Missouri,Diederick,Silty clay,1,7,36,107,143,8.07
2006,Missouri,Diederick,Silty clay,1,9,36,161,197,4.62
2006,Missouri,Diederick,Silty clay,2,1,0,0,0,8.56
2006,Missouri,Diederick,Silty clay,2,3,36,0,36,9.16
2006,Missouri,Diederick,Silty clay,2,5,36,54,90,8.38
2006,Missouri,Diederick,Silty clay,2,7,36,107,143,9.19
2006,Missouri,Diederick,Silty clay,2,9,36,161,197,8.97
2006,Missouri,Diederick,Silty clay,3,1,0,0,0,8.53
2006,Missouri,Diederick,Silty clay,3,3,36,0,36,8.51
2006,Missouri,Diederick,Silty clay,3,5,36,54,90,10.38
2006,Missouri,Diederick,Silty clay,3,7,36,107,143,9.41
2006,Missouri,Diederick,Silty clay,3,9,36,161,197,9.48
2006,Missouri,Diederick,Silty clay,4,1,0,0,0,9.1
2006,Missouri,Diederick,Silty clay,4,3,36,0,36,9.15
2006,Missouri,Diederick,Silty clay,4,5,36,54,90,9.5
2006,Missouri,Diederick,Silty clay,4,7,36,107,143,8.39
2006,Missouri,Diederick,Silty clay,4,9,36,161,197,8.9