Species,sweden_farms,sweden_peri_urban,sweden_wetlands,netherlands_farms,netherlands_peri_urban,netherlands_wetlands,italy_farms,italy_peri_urban,italy_wetlands,farms,peri_urban,wetlands
Aedes albopictus,0,0,0,0,0,0,37,272,4,37,272,4
Aedes behningi,0,2,13,0,0,0,0,0,1,0,2,14
Aedes berlandi,0,0,0,0,0,0,0,1,0,0,1,0
Aedes cantans,0,4,3,0,0,0,0,0,0,0,4,3
Aedes caspius,0,1,0,0,0,0,5,9,1664,5,10,1664
Aedes cataphylla,0,8,0,0,0,0,0,0,0,0,8,0
Aedes cinereus,0,3,120,0,0,50,0,0,4,0,3,174
Aedes communis,0,0,0,0,0,2,0,0,0,0,0,2
Aedes detritus,1,7,131,1,0,0,12,41,282,14,48,413
Aedes geniculatus,0,1,0,0,0,0,0,1,2,0,2,2
Aedes hexodontus,1,0,0,0,0,0,0,0,0,1,0,0
Aedes impiger,0,0,0,0,0,0,0,1,0,0,1,0
Aedes intrudens,1,1,0,0,0,0,0,0,4,1,1,4
Aedes leucomelas,0,0,2,0,0,0,0,0,0,0,0,2
Aedes mercurator,0,0,33,0,0,0,0,0,0,0,0,33
Aedes pullatus,0,4,228,0,0,0,0,0,0,0,4,228
Aedes riparius,0,0,2,0,0,0,0,0,0,0,0,2
Aedes rossicus,0,0,1,0,0,0,0,0,0,0,0,1
Aedes vexans,1,5,6,1,0,13,0,0,7,2,5,26
Anopheles algeriensis,0,1,0,0,0,0,0,0,0,0,1,0
Anopheles claviger,35,8,6,2,0,1,0,1,3,37,9,10
Anopheles maculipennis,114,2,96,3,1,6,7,2,3,124,5,105
Anopheles plumbeus,16,3,0,4,0,1,0,11,0,20,14,1
Anopheles sacharovi,0,0,0,0,0,0,1,0,1,1,0,1
Coquillettidia richiardii,4,23,76,1,0,2,0,0,1,5,23,79
Culex laticintus,0,0,0,0,0,0,4,0,27,4,0,27
Culex martinii,0,0,0,0,0,0,9,4,878,9,4,878
Culex mimeticus,0,1,6,0,0,0,0,0,0,0,1,6
Culex modestus,5,13,2,0,1,1,0,1,58,5,15,61
Culex pipiens,48,100,57,316,1514,1070,149,148,1800,513,1762,2927
Culex pusillus,0,0,0,1,0,0,0,0,16,1,0,16
Culex theileri,0,2,0,0,0,0,2,0,41,2,2,41
Culiseta alaskaensis,1,1,0,0,0,0,0,0,0,1,1,0
Culiseta annulata,27,20,16,258,24,18,3,3,2,288,47,36
Culiseta bergrothi,4,1,0,3,0,0,0,0,0,7,1,0
Culiseta longiarealata,0,0,0,0,0,0,34,6,17,34,6,17
Culiseta morsitans,0,1,28,0,0,0,1,0,0,1,1,28
Culiseta ochroptera,0,1,1,0,0,0,0,0,0,0,1,1
Culiseta subochrea,0,0,0,1,1,0,1,0,0,2,1,0
Uranotaenia unguiculata,0,0,0,0,0,0,0,0,16,0,0,16