STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2019,4,15,15,20, , , , , , , , , , , , 
ADAX,Ada,OK,34.8,-96.67,2019,4,15,15,20,78,51,40, , ,S,12,20,1011.13,78,48, 
ALTU,Altus,OK,34.59,-99.34,2019,4,15,15,20,82,55,39, ,82,SSW,19,26,1007.86,82,45, 
ALV2,Alva,OK,36.71,-98.71,2019,4,15,15,20,83,51,32, ,82,S,20,26,1004.65,84,40, 
ANT2,Antlers,OK,34.25,-95.67,2019,4,15,15,20,78,49,35, , ,S,11,20,1013.64,78,38, 
APAC,Apache,OK,34.91,-98.29,2019,4,15,15,20,80,54,41, , ,S,23,29,1008.9,80,49, 
ARD2,Ardmore,OK,34.19,-97.09,2019,4,15,15,20,77,52,41, , ,S,18,26,1011.43,77,50, 
ARNE,Arnett,OK,36.07,-99.9,2019,4,15,15,20,89,25,10, ,85,SW,22,32,1005.13, , , 
BEAV,Beaver,OK,36.8,-100.53,2019,4,15,15,20,88,22,9, ,84,SW,17,26,1003.9,91,34, 
BESS,Bessie,OK,35.4,-99.06,2019,4,15,15,20,79,53,41, , ,S,27,35,1006.98,80,44, 
BIXB,Bixby,OK,35.96,-95.87,2019,4,15,15,20,79,50,36, , ,SSW,21,30,1009.37,80,44, 
BLAC,Blackwell,OK,36.75,-97.25,2019,4,15,15,20,79,51,38, , ,SSW,15,23,1007.02,80,44, 
BOIS,Boise City,OK,36.69,-102.5,2019,4,15,15,20,80,21,11, ,78,WSW,24,31,1006.68,81,35, 
BREC,Breckinridge,OK,36.41,-97.69,2019,4,15,15,20,77,53,44, , ,S,21,29,1007.3,77,48, 
BRIS,Bristow,OK,35.78,-96.35,2019,4,15,15,20,79,52,39, , ,S,15,26,1009.22,79,48, 
BROK,Broken Bow,OK,34.04,-94.62,2019,4,15,15,20,77,48,35, , ,S,10,18,1014.98,77,38, 
BUFF,Buffalo,OK,36.83,-99.64,2019,4,15,15,20,90,39,17, ,86,S,11,19,1003.33,90,37, 
BURB,Burbank,OK,36.63,-96.81,2019,4,15,15,20,78,51,38, , ,SSW,18,27,1007.67,79,45, 
BURN,Burneyville,OK,33.89,-97.27,2019,4,15,15,20,77,53,43, , ,S,14,21,1011.68,79,51, 
BUTL,Butler,OK,35.59,-99.27,2019,4,15,15,20,83,51,33, ,81,S,26,35,1006.4,83,46, 
BYAR,Byars,OK,34.85,-97,2019,4,15,15,20,77,53,43, , ,S,22,32,1010.64,77,49, 
CAMA,Camargo,OK,36.03,-99.35,2019,4,15,15,20,83,50,32, ,82,S,23,29,1005.56, , , 
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2019,4,15,15,20,80,51,36, ,80,S,17,25,1007.56,80,50, 
CENT,Centrahoma,OK,34.61,-96.33,2019,4,15,15,20,77,51,40, , ,S,19,26,1011.7,77,44, 
CHAN,Chandler,OK,35.65,-96.8,2019,4,15,15,20,79,50,37, , ,SSW,16,27,1009.35,80,48, 
CHER,Cherokee,OK,36.75,-98.36,2019,4,15,15,20,81,53,39, ,80,S,19,29,1005.39,82,46, 
CHEY,Cheyenne,OK,35.55,-99.73,2019,4,15,15,20,82,48,31, ,80,S,24,31,1006.45,83,46, 
CHIC,Chickasha,OK,35.03,-97.91,2019,4,15,15,20,78,54,43, , ,S,22,30,1008.86,78,46, 
CLAY,Clayton,OK,34.66,-95.33,2019,4,15,15,20,78,49,36, , ,S,9,24,1012.9,78,40, 
CLOU,Cloudy,OK,34.22,-95.25,2019,4,15,15,20,75,48,39, , ,S,11,19,1014.47,76,41, 
COOK,Cookson,OK,35.68,-94.85,2019,4,15,15,20,76,48,37, , ,S,17,28,1011.52,76,43, 
COPA,Copan,OK,36.91,-95.89,2019,4,15,15,20,78,50,37, , ,S,20,30,1008.05,79,47, 
DURA,Durant,OK,33.92,-96.32,2019,4,15,15,20,76,51,41, , ,S,18,28,1013.08,77,49, 
ELKC,Elk City,OK,35.33,-99.39,2019,4,15,15,20,81,52,36, ,81,S,24,34,1006.78,81,44, 
ELRE,El Reno,OK,35.55,-98.04,2019,4,15,15,20,79,54,43, , ,S,23,29,1008.4,79,47, 
ERIC,Erick,OK,35.2,-99.8,2019,4,15,15,20,81,52,36, ,80,S,20,28,1006.71,82,42, 
EUFA,Eufaula,OK,35.3,-95.66,2019,4,15,15,20,78,50,38, , ,S,24,31,1010.67,78,48, 
EVAX,Eva,OK,36.92,-101.78,2019,4,15,15,20,83,18,9, ,80,WSW,18,25,1005.28,86,37, 
FAIR,Fairview,OK,36.26,-98.5,2019,4,15,15,20,80,55,42, , ,SSW,21,29,1005.71,80,40, 
FITT,Fittstown,OK,34.55,-96.72,2019,4,15,15,20,76,49,38, , ,S,25,33,1011.64,77,47, 
FORA,Foraker,OK,36.84,-96.43,2019,4,15,15,20,79,47,32, , ,S,24,30,1007.78,80,45, 
FREE,Freedom,OK,36.73,-99.14,2019,4,15,15,20,86,45,24, ,83,S,22,28,1004.17,86,40, 
FTCB,Fort Cobb,OK,35.15,-98.47,2019,4,15,15,20,78,51,39, , ,S,24,31,1008.44,80,48, 
GOOD,Goodwell,OK,36.6,-101.6,2019,4,15,15,20,86,27,12, ,82,SW,21,28,1004.77,86,39, 
GRA2,Grandfield,OK,34.24,-98.74,2019,4,15,15,20,81,57,44, ,81,SSW,19,26,1009.07,81,44, 
GUTH,Guthrie,OK,35.85,-97.48,2019,4,15,15,20,79,51,37, , ,S,19,28,1007.96,79,50, 
HASK,Haskell,OK,35.75,-95.64,2019,4,15,15,20,78,52,40, , ,S,23,30,1010.12,79,42, 
HECT,Hectorville,OK,35.84,-96,2019,4,15,15,20,78,50,37, , ,SSW,20,31,1009.45,78,51, 
HINT,Hinton,OK,35.48,-98.48,2019,4,15,15,20,77,54,44, , ,S,28,32,1008.09,78,47, 
HOBA,Hobart,OK,34.99,-99.05,2019,4,15,15,20,79,55,44, , ,S,24,30,1007.96,79,48, 
HOLD,Holdenville,OK,35.07,-96.36,2019,4,15,15,20,76,51,42, , ,S,23,30,1010.63,78,48, 
HOLL,Hollis,OK,34.69,-99.83,2019,4,15,15,20,84,51,32, ,82,SSW,20,27,1007.18,84,44, 
HOOK,Hooker,OK,36.86,-101.23,2019,4,15,15,20,85,26,12, ,82,SSW,17,24,1004.4,86,32, 
HUGO,Hugo,OK,34.03,-95.54,2019,4,15,15,20,77,50,38, , ,S,17,23,1014.03,77,46, 
IDAB,Idabel,OK,33.83,-94.88,2019,4,15,15,20,76,49,39, , ,S,13,19,1015.16,76,42, 
INOL,Inola,OK,36.14,-95.45,2019,4,15,15,20,77,50,38, , ,SSW,25,35,1009.75,78,44, 
JAYX,Jay,OK,36.48,-94.78,2019,4,15,15,20,78,46,32, , ,S,11,28,1010.31,78,45, 
KENT,Kenton,OK,36.83,-102.88,2019,4,15,15,20,78,19,11, , ,WSW,21,30,1007.43,80,36, 
KETC,Ketchum Ranch,OK,34.53,-97.76,2019,4,15,15,20, , , , , , , , , , , , 
KIN2,Kingfisher,OK,35.85,-97.95,2019,4,15,15,20,78,54,44, , ,S,23,31,1007.56,78,50, 
LAHO,Lahoma,OK,36.38,-98.11,2019,4,15,15,20,78,54,44, , ,S,21,28,1006.56,78,43, 
LANE,Lane,OK,34.31,-96,2019,4,15,15,20,77,52,41, , ,SSE,17,26,1012.97,78,42, 
MADI,Madill,OK,34.04,-96.94,2019,4,15,15,20,75,53,46, , ,SSE,13,19,1011.95,77,47, 
MANG,Mangum,OK,34.84,-99.42,2019,4,15,15,20,82,52,35, ,81,S,20,28,1007.35,83,45, 
MARE,Marena,OK,36.06,-97.21,2019,4,15,15,20,79,50,36, , ,S,22,31,1007.83,79,48, 
MAYR,May Ranch,OK,36.99,-99.01,2019,4,15,15,20,84,45,26, ,82,SSE,15,21,1004.71,85,39, 
MCAL,McAlester,OK,34.88,-95.78,2019,4,15,15,20,79,49,35, , ,S,12,22,1011.93,79,41, 
MEDF,Medford,OK,36.79,-97.75,2019,4,15,15,20,78,54,44, , ,S,19,26,1006.48,79,44, 
MEDI,Medicine Park,OK,34.73,-98.57,2019,4,15,15,20,79,52,39, , ,S,25,32,1009.03,79,46, 
MIAM,Miami,OK,36.89,-94.84,2019,4,15,15,20,77,47,35, , ,SSW,21,28,1009.46,78,46, 
MINC,Minco,OK,35.27,-97.96,2019,4,15,15,20,76,54,45, , ,S,22,31,1008.94,77,47, 
MRSH,Marshall,OK,36.12,-97.61,2019,4,15,15,20,78,52,40, , ,S,23,30,1007.32,79,48, 
MTHE,Mt Herman,OK,34.31,-94.82,2019,4,15,15,20,74,47,38, , ,SSW,16,26,1015.17,75,41, 
NEWK,Newkirk,OK,36.9,-96.91,2019,4,15,15,20,80,49,34, ,80,SSW,21,26,1007.59,80,46, 
NEWP,Newport,OK,34.23,-97.2,2019,4,15,15,20,77,54,46, , ,S,19,26,1011.07,77,49, 
NOWA,Nowata,OK,36.74,-95.61,2019,4,15,15,20,78,50,38, , ,S,25,36,1008.59,78,43, 
NRMN,Norman,OK,35.24,-97.46,2019,4,15,15,20,77,52,42, , ,S,17,27,1009.65,78,51, 
OILT,Oilton,OK,36.03,-96.5,2019,4,15,15,20,79,49,35, , ,S,16,28,1008.73,79,50, 
OKCE,Oklahoma City East,OK,35.47,-97.46,2019,4,15,15,20,78,53,41, , ,SSW,10,20,1008.85,78,52, 
OKEM,Okemah,OK,35.43,-96.26,2019,4,15,15,20,77,52,42, , ,S,22,32,1010.26,78,47, 
OKMU,Okmulgee,OK,35.58,-95.91,2019,4,15,15,20,79,50,37, , ,S,15,25,1010.21,79,45, 
PAUL,Pauls Valley,OK,34.72,-97.23,2019,4,15,15,20,79,53,40, , ,S,13,23,1010.47,79,47, 
PAWN,Pawnee,OK,36.36,-96.77,2019,4,15,15,20,80,52,38, , ,S,23,32,1008.13,80,46, 
PERK,Perkins,OK,36,-97.05,2019,4,15,15,20,78,52,41, , ,SSW,21,31,1008.28,78,48, 
PORT,Porter,OK,35.83,-95.56,2019,4,15,15,20,78,50,37, , ,S,20,28,1010.57,78,47, 
PRYO,Pryor,OK,36.37,-95.27,2019,4,15,15,20,79,50,36, , ,S,20,28,1009.45,79,43, 
PUTN,Putnam,OK,35.9,-98.96,2019,4,15,15,20,78,52,40, , ,S,24,33,1006.84,79,47, 
REDR,Red Rock,OK,36.36,-97.15,2019,4,15,15,20,79,50,36, , ,S,21,30,1007.43,79,48, 
RING,Ringling,OK,34.19,-97.59,2019,4,15,15,20, , , , , , , , , , , , 
SALL,Sallisaw,OK,35.44,-94.8,2019,4,15,15,20,77,48,36, , ,SSE,14,22,1012.27,79,41, 
SEIL,Seiling,OK,36.19,-99.04,2019,4,15,15,20,79,53,41, , ,S,17,28,1005.97,81,48, 
SEMI,Seminole,OK,35.18,-96.7,2019,4,15,15,20,78,50,37, , ,S,21,33,1010.21,78,50, 
SHAW,Shawnee,OK,35.36,-96.95,2019,4,15,15,20,76,52,43, , ,S,22,30,1009.57,77,50, 
SKIA,Skiatook,OK,36.42,-96.04,2019,4,15,15,20,78,50,37, , ,SSW,17,27,1008.68,78,49, 
SLAP,Slapout,OK,36.6,-100.26,2019,4,15,15,20,88,22,9, ,84,SW,21,30,1004.43,91,42, 
SPEN,Spencer,OK,35.54,-97.34,2019,4,15,15,20,78,51,39, , ,S,22,34,1008.74,78,51, 
STIG,Stigler,OK,35.27,-95.18,2019,4,15,15,20,78,49,37, , ,S,24,34,1011.5,78,40, 
STIL,Stillwater,OK,36.12,-97.1,2019,4,15,15,20,82,49,32, ,80,SSW,15,25,1007.86,82,48, 
STUA,Stuart,OK,34.88,-96.07,2019,4,15,15,20,77,51,40, , ,S,22,32,1011.66,77,46, 
SULP,Sulphur,OK,34.57,-96.95,2019,4,15,15,20,77,53,44, , ,SSE,21,31,1011.2,77,49, 
TAHL,Tahlequah,OK,35.97,-94.99,2019,4,15,15,20,77,48,36, , ,SSE,19,27,1011.16,77,44, 
TALA,Talala,OK,36.57,-95.75,2019,4,15,15,20,78,51,38, , ,S,25,32,1008.79,79,45, 
TALI,Talihina,OK,34.71,-95.01,2019,4,15,15,20,78,47,34, , ,S,12,21,1013.46,78,38, 
TIPT,Tipton,OK,34.44,-99.14,2019,4,15,15,20,80,59,49, , ,S,19,26,1008.33,81,45, 
TISH,Tishomingo,OK,34.33,-96.68,2019,4,15,15,20,77,49,38, , ,S,23,30,1011.96,77,46, 
TULN,Tulsa,OK,36.2,-95.94,2019,4,15,15,20,78,50,37, , ,SSW,17,25,1008.98,79,51, 
VALL,Valliant,OK,33.94,-95.11,2019,4,15,15,20,76,50,40, , ,S,13,20,1014.69,76,41, 
VINI,Vinita,OK,36.78,-95.22,2019,4,15,15,20,78,50,38, , ,S,22,29,1009.26,78,43, 
WAL2,Walters,OK,34.4,-98.35,2019,4,15,15,20,79,56,45, , ,S,20,23,1009.68,80,45, 
WASH,Washington,OK,34.98,-97.52,2019,4,15,15,20,78,52,40, , ,S,22,32,1009.75,78,45, 
WATO,Watonga,OK,35.84,-98.53,2019,4,15,15,20,76,54,47, , ,S,22,31,1007.49,76,49, 
WAUR,Waurika,OK,34.17,-97.99,2019,4,15,15,20,83,50,32, ,81,S,16,25,1010.23,84,46, 
WEAT,Weatherford,OK,35.51,-98.78,2019,4,15,15,20,76,56,50, , ,S,24,32,1007.53,76,46, 
WEBR,Webbers Falls,OK,35.49,-95.12,2019,4,15,15,20,79,52,39, , ,S,17,26,1011.18,79,44, 
WEST,Westville,OK,36.01,-94.64,2019,4,15,15,20,75,47,37, , ,S,15,25,1011.58,76,43, 
WILB,Wilburton,OK,34.9,-95.35,2019,4,15,15,20,76,49,39, , ,S,19,29,1012.43,77,42, 
WIST,Wister,OK,34.98,-94.69,2019,4,15,15,20,77,50,39, , ,S,12,23,1013.15,77,36, 
WOOD,Woodward,OK,36.42,-99.42,2019,4,15,15,20,86,44,23, ,83,S,25,32,1004.84,86,46, 
WYNO,Wynona,OK,36.52,-96.34,2019,4,15,15,20,78,49,36, , ,SSW,24,33,1007.98,80,46, 
YUKO,Yukon,OK,35.56,-97.76,2019,4,15,15,20,79,51,38, , ,SSW,27,35,1008.64,80,51, 