Date,Time,CO2,Tair,Pressure,dC,dt,SRL,SRQ
23/08/19,14:16:24,384,25.5,987,0,1,0,0
23/08/19,14:16:25,384,25.5,987,0,2,0,0
23/08/19,14:16:26,384,25.5,987,1,3,0,0
23/08/19,14:16:27,385,25.5,987,1,4,0,0
23/08/19,14:16:28,385,25.5,987,2,5,0,0
23/08/19,14:16:29,386,25.5,987,2,6,0,0
23/08/19,14:16:30,386,25.6,987,3,7,0,0
23/08/19,14:16:31,387,25.6,987,3,8,0,0
23/08/19,14:16:33,387,25.6,987,4,9,0,0
23/08/19,14:16:34,388,25.6,987,4,10,0,0
23/08/19,14:16:35,388,25.6,987,5,11,0,0
23/08/19,14:16:36,389,25.5,987,5,12,0,0
23/08/19,14:16:37,389,25.6,987,6,13,0.483,0.0908
23/08/19,14:16:38,390,25.7,987,6,14,0.5225,0.223
23/08/19,14:16:39,390,25.7,987,7,15,0.5358,0.3805
23/08/19,14:16:40,391,25.7,987,7,16,0.5224,0.4579
23/08/19,14:16:41,391,25.7,987,8,17,0.5068,0.5361
23/08/19,14:16:42,391,25.7,987,8,18,0.4803,0.5752
23/08/19,14:16:43,392,25.6,987.1,9,19,0.4787,0.5588
23/08/19,14:16:44,393,25.6,987.1,9,20,0.4905,0.4844
23/08/19,14:16:45,394,25.6,987.1,10,21,0.5119,0.4341
23/08/19,14:16:46,394,25.6,987.1,11,22,0.5276,0.3952
23/08/19,14:16:47,395,25.6,987.1,12,23,0.5473,0.3757
23/08/19,14:16:48,396,25.6,987.1,12,24,0.5611,0.3626
23/08/19,14:16:49,397,25.6,987.1,13,25,0.5741,0.3717
23/08/19,14:16:50,397,25.6,987.1,14,26,0.5804,0.3853
23/08/19,14:16:51,398,25.6,987.1,14,27,0.5908,0.3979
23/08/19,14:16:52,399,25.6,987.1,15,28,0.5975,0.4047
23/08/19,14:16:53,400,25.6,987.1,16,29,0.607,0.4135
23/08/19,14:16:54,400,25.6,987.1,17,30,0.6114,0.4254
23/08/19,14:16:55,400,25.6,987.1,17,31,0.6106,0.4628
23/08/19,14:16:56,401,25.6,987.1,17,32,0.6077,0.4897
23/08/19,14:16:57,402,25.6,987.1,18,33,0.6089,0.5078
23/08/19,14:16:58,402,25.6,987.1,19,34,0.609,0.5166
23/08/19,14:16:59,403,25.6,987.1,20,35,0.6116,0.5223
23/08/19,14:17:00,404,25.6,987.1,20,36,0.6109,0.5315
23/08/19,14:17:01,404,25.6,987.1,21,37,0.6116,0.5412
23/08/19,14:17:02,405,25.7,987.1,22,38,0.6127,0.5417
23/08/19,14:17:03,406,25.7,987.1,23,39,0.6179,0.5356
23/08/19,14:17:04,407,25.7,987.1,24,40,0.6223,0.526
23/08/19,14:17:08,410,25.7,987,26,44,0.6345,0.5244
23/08/19,14:17:09,411,25.7,987,27,45,0.6372,0.5261
23/08/19,14:17:10,411,25.7,987,28,46,0.6393,0.5268
23/08/19,14:17:11,412,25.7,987,29,47,0.6434,0.5267
23/08/19,14:17:12,413,25.7,987,29,48,0.646,0.5257
23/08/19,14:17:13,414,25.7,987,31,49,0.6502,0.522
23/08/19,14:17:14,415,25.7,987.1,32,50,0.6545,0.5154
23/08/19,14:17:15,416,25.7,987.1,32,51,0.658,0.514
23/08/19,14:17:16,416,25.7,987.1,33,52,0.66,0.5166
23/08/19,14:17:17,417,25.7,987.1,33,53,0.6619,0.5232
23/08/19,14:17:18,417,25.7,987.1,34,54,0.6623,0.5313
23/08/19,14:17:19,418,25.7,987.1,34,55,0.6624,0.5416
23/08/19,14:17:20,418,25.7,987.1,34,56,0.6611,0.5538
23/08/19,14:17:21,418,25.7,987.1,35,57,0.66,0.5671
23/08/19,14:17:22,419,25.7,987.1,36,58,0.6586,0.5771
23/08/19,14:17:23,420,25.7,987.1,36,59,0.6574,0.588
23/08/19,14:17:24,420,25.7,987.1,37,60,0.6557,0.5974
23/08/19,14:17:25,421,25.7,987.1,38,61,0.655,0.6039
23/08/19,14:17:26,422,25.7,987.1,39,62,0.6546,0.6074
23/08/19,14:17:27,423,25.7,987.1,39,63,0.6551,0.6092
23/08/19,14:17:28,424,25.7,987.1,40,64,0.6552,0.6099
23/08/19,14:17:29,424,25.7,987.1,41,65,0.6556,0.6128
23/08/19,14:17:30,425,25.7,987.1,42,66,0.6555,0.6142
23/08/19,14:17:31,426,25.7,987.1,42,67,0.6558,0.6154
23/08/19,14:17:32,427,25.7,987.1,43,68,0.6563,0.6148
23/08/19,14:17:33,428,25.7,987.1,44,69,0.6571,0.6143
23/08/19,14:17:34,428,25.7,987.1,45,70,0.6576,0.6132
23/08/19,14:17:35,429,25.7,987.1,45,71,0.658,0.6138
23/08/19,14:17:36,429,25.7,987.1,46,72,0.658,0.6147
23/08/19,14:17:37,430,25.7,987.1,47,73,0.6581,0.6162
23/08/19,14:17:38,431,25.7,987.1,47,74,0.658,0.6178
23/08/19,14:17:39,431,25.7,987.1,48,75,0.6583,0.6192
23/08/19,14:17:40,432,25.7,987.1,49,76,0.6585,0.6198
23/08/19,14:17:41,433,25.7,987.1,50,77,0.6589,0.6203
23/08/19,14:17:42,434,25.7,987.1,50,78,0.659,0.621
23/08/19,14:17:43,434,25.7,987.1,51,79,0.6593,0.6213
23/08/19,14:17:44,435,25.6,987.1,52,80,0.6593,0.6219
23/08/19,14:17:45,436,25.6,987.1,52,81,0.6598,0.6224
23/08/19,14:17:46,437,25.6,987.1,53,82,0.66,0.6223
23/08/19,14:17:47,437,25.6,987.1,54,83,0.6605,0.6222
23/08/19,14:17:48,438,25.6,987.1,55,84,0.6608,0.6217
23/08/19,14:17:49,439,25.6,987.1,56,85,0.6617,0.6202
23/08/19,14:17:50,440,25.6,987.1,57,86,0.6624,0.6185
23/08/19,14:17:51,441,25.6,987.1,57,87,0.6632,0.6168
23/08/19,14:17:52,442,25.6,987.1,58,88,0.6639,0.6151
23/08/19,14:17:53,443,25.6,987.1,59,89,0.6651,0.6133
23/08/19,14:17:54,443,25.6,987.1,60,90,0.666,0.6113
23/08/19,14:17:55,444,25.6,987.1,61,91,0.667,0.6105
23/08/19,14:17:56,445,25.6,987.1,61,92,0.6676,0.6098
23/08/19,14:17:57,445,25.6,987.1,62,93,0.6683,0.6093
23/08/19,14:17:58,446,25.6,987,63,94,0.6691,0.6081
23/08/19,14:17:59,447,25.6,987,64,95,0.6698,0.6075
23/08/19,14:18:00,448,25.6,987,64,96,0.6705,0.6069
23/08/19,14:18:01,448,25.6,987,65,97,0.6713,0.6074
23/08/19,14:18:02,449,25.6,987,65,98,0.6717,0.6079
23/08/19,14:18:03,450,25.6,987,66,99,0.672,0.6081
23/08/19,14:18:05,451,25.6,987,67,100,0.6725,0.6084
23/08/19,14:18:06,451,25.6,987,68,101,0.673,0.6086
23/08/19,14:18:07,452,25.6,987,69,102,0.6736,0.6083
23/08/19,14:18:08,453,25.6,987,69,103,0.6743,0.6089
23/08/19,14:18:09,454,25.6,987,70,104,0.6747,0.6093
23/08/19,14:18:10,455,25.6,987,71,105,0.6753,0.6092
23/08/19,14:18:11,455,25.6,987,72,106,0.6759,0.609
23/08/19,14:18:12,456,25.6,987,73,107,0.6765,0.6093
23/08/19,14:18:13,457,25.6,987,73,108,0.6768,0.6101
23/08/19,14:18:14,457,25.6,987,74,109,0.6773,0.6109
23/08/19,14:18:15,458,25.6,987,75,110,0.6776,0.6114
23/08/19,14:18:16,459,25.6,987,75,111,0.6781,0.6126
23/08/19,14:18:17,460,25.6,987,76,112,0.6785,0.6134
23/08/19,14:18:18,460,25.6,987,77,113,0.6789,0.6145
23/08/19,14:18:19,461,25.6,987,77,114,0.6791,0.6156
23/08/19,14:18:20,461,25.6,987,78,115,0.6794,0.6171
23/08/19,14:18:21,462,25.6,987,79,116,0.6796,0.6182
23/08/19,14:18:22,463,25.6,987,80,117,0.68,0.6194
23/08/19,14:18:23,464,25.6,987,81,118,0.6803,0.6196
23/08/19,14:18:24,465,25.6,987,81,119,0.6811,0.6201
23/08/19,14:18:25,466,25.6,987,82,120,0.6815,0.6202
23/08/19,14:18:26,466,25.6,987,83,121,0.6821,0.6208
23/08/19,14:18:27,467,25.6,987,84,122,0.6825,0.6207
23/08/19,14:18:28,468,25.6,987,85,123,0.6831,0.6208
23/08/19,14:18:29,469,25.6,987,85,124,0.6834,0.621
23/08/19,14:18:30,470,25.6,987,86,125,0.6841,0.6214
23/08/19,14:18:31,471,25.6,987,87,126,0.6845,0.6214
23/08/19,14:18:32,471,25.6,987,88,127,0.6849,0.6214
23/08/19,14:18:33,472,25.6,987,88,128,0.6853,0.6216
23/08/19,14:18:34,472,25.6,987,89,129,0.6858,0.6225
23/08/19,14:18:35,473,25.6,987,89,130,0.6859,0.6235
23/08/19,14:18:36,473,25.6,987,90,131,0.6862,0.6251
23/08/19,14:18:37,474,25.6,987,91,132,0.6863,0.6263
23/08/19,14:18:38,475,25.6,987,92,133,0.6866,0.6273
23/08/19,14:18:39,476,25.6,987,93,134,0.6869,0.6275
23/08/19,14:18:40,478,25.6,987,94,135,0.6875,0.6274
23/08/19,14:18:41,479,25.6,987,95,136,0.688,0.627
23/08/19,14:18:42,479,25.6,987,96,137,0.6887,0.6264
23/08/19,14:18:43,480,25.6,987,97,138,0.6892,0.6259
23/08/19,14:18:44,481,25.6,987,97,139,0.6898,0.6258
23/08/19,14:18:45,481,25.6,987,98,140,0.6901,0.6259
23/08/19,14:18:46,482,25.6,987,98,141,0.6903,0.6264
23/08/19,14:18:47,482,25.6,987,99,142,0.6905,0.6271
23/08/19,14:18:48,483,25.6,987,100,143,0.6908,0.6274
23/08/19,14:18:49,484,25.6,987,101,144,0.6912,0.6275
23/08/19,14:18:50,485,25.6,987,102,145,0.6917,0.6278
23/08/19,14:18:51,486,25.6,987,103,146,0.692,0.6278
23/08/19,14:18:52,487,25.6,987,103,147,0.6926,0.628
23/08/19,14:18:53,487,25.6,987,104,148,0.6928,0.6283
23/08/19,14:18:54,488,25.6,987,105,149,0.6931,0.6286
23/08/19,14:18:55,489,25.6,987,105,150,0.6934,0.6288
23/08/19,14:18:56,490,25.6,987,106,151,0.6937,0.6291
23/08/19,14:18:57,491,25.6,987,107,152,0.6941,0.6292
23/08/19,14:18:58,492,25.6,987,108,153,0.6945,0.6294
23/08/19,14:18:59,492,25.6,987,109,154,0.6949,0.6294
23/08/19,14:19:00,493,25.6,987,109,155,0.6954,0.6297
23/08/19,14:19:01,494,25.6,987,110,156,0.6956,0.63
23/08/19,14:19:02,494,25.6,987,110,157,0.6958,0.6308
23/08/19,14:19:03,495,25.6,987,111,158,0.696,0.6316
23/08/19,14:19:04,496,25.6,987,112,159,0.6962,0.6325
23/08/19,14:19:05,497,25.6,987,113,160,0.6965,0.633
23/08/19,14:19:06,497,25.6,987,114,161,0.6969,0.6338
23/08/19,14:19:07,498,25.6,987,114,162,0.6971,0.6345
23/08/19,14:19:08,498,25.6,987,115,163,0.6972,0.6354
23/08/19,14:19:09,499,25.6,987,115,164,0.6972,0.6365
23/08/19,14:19:10,500,25.6,987,116,165,0.6972,0.6376
23/08/19,14:19:11,500,25.6,987,117,166,0.6971,0.6388
23/08/19,14:19:12,501,25.6,987,117,167,0.6972,0.6402
23/08/19,14:19:13,501,25.6,987,118,168,0.6971,0.6416
23/08/19,14:19:14,502,25.6,987,118,169,0.697,0.6432
23/08/19,14:19:15,502,25.6,987,119,170,0.6969,0.6447
23/08/19,14:19:16,503,25.6,987,120,171,0.6969,0.6464
23/08/19,14:19:17,504,25.6,987,121,172,0.6968,0.6477
23/08/19,14:19:18,504,25.6,987,121,173,0.6966,0.6493
23/08/19,14:19:19,505,25.6,987,121,174,0.6963,0.6512
23/08/19,14:19:20,505,25.6,987,122,175,0.6962,0.6532
23/08/19,14:19:21,506,25.6,987,123,176,0.6959,0.655
23/08/19,14:19:22,507,25.6,987,123,177,0.6956,0.6566
23/08/19,14:19:23,508,25.6,987,124,178,0.6954,0.6581
23/08/19,14:19:24,509,25.6,987,125,179,0.6952,0.6593
23/08/19,14:19:25,509,25.6,987,126,180,0.695,0.6606
23/08/19,14:19:26,510,25.6,987,126,181,0.6949,0.6622
23/08/19,14:19:27,511,25.6,987,127,182,0.6946,0.6635
23/08/19,14:19:28,512,25.6,987,128,183,0.6945,0.6646
23/08/19,14:19:29,513,25.6,987,129,184,0.6944,0.6654
23/08/19,14:19:30,513,25.6,987,130,185,0.6944,0.6662
23/08/19,14:19:31,514,25.6,987,131,186,0.6943,0.6668
23/08/19,14:19:32,515,25.6,987,131,187,0.6944,0.6676
23/08/19,14:19:33,516,25.6,987,132,188,0.6943,0.6683
23/08/19,14:19:34,516,25.6,987,133,189,0.6942,0.669
23/08/19,14:19:35,517,25.6,987,134,190,0.6941,0.6696
23/08/19,14:19:37,518,25.6,987,134,191,0.6942,0.6702
23/08/19,14:19:38,519,25.6,987,135,192,0.6941,0.6709
23/08/19,14:19:39,519,25.6,987,136,193,0.6942,0.6718
23/08/19,14:19:40,520,25.6,987,136,194,0.6941,0.6726
23/08/19,14:19:41,520,25.6,987,137,195,0.6939,0.6734
23/08/19,14:19:42,521,25.6,987,138,196,0.6937,0.6741
23/08/19,14:19:43,522,25.6,987,139,197,0.6937,0.6745
23/08/19,14:19:44,523,25.6,987,140,198,0.6937,0.6748
23/08/19,14:19:45,524,25.6,987,140,199,0.6937,0.6751
23/08/19,14:19:46,525,25.6,987,141,200,0.6936,0.6753
23/08/19,14:19:47,526,25.6,987,142,201,0.6938,0.6754
23/08/19,14:19:48,527,25.6,987,143,202,0.6938,0.6754
23/08/19,14:19:49,527,25.6,987,144,203,0.6938,0.6753
23/08/19,14:19:50,528,25.6,987,144,204,0.6937,0.6755
23/08/19,14:19:51,528,25.6,987,145,205,0.6936,0.6758
23/08/19,14:19:52,529,25.6,986.9,145,206,0.6936,0.6762
23/08/19,14:19:53,529,25.6,986.9,146,207,0.6936,0.6768
23/08/19,14:19:54,530,25.6,986.9,147,208,0.6935,0.6773
23/08/19,14:19:55,531,25.6,986.9,147,209,0.6934,0.6777
23/08/19,14:19:56,532,25.6,986.9,148,210,0.6933,0.6782