theta_true,theta_uncalibrated_sensor,theta_calibrated_sensor
0.033,0.020,0.053
0.148,0.124,0.138
0.303,0.286,0.249
0.448,0.470,0.403
0.024,0.010,0.044
0.142,0.102,0.122
0.263,0.218,0.202
0.446,0.468,0.400
0.013,0.008,0.041
0.145,0.106,0.125
0.287,0.299,0.258
0.408,0.510,0.446
0.149,0.079,0.104
0.328,0.386,0.324
0.409,0.457,0.388
0.003,0.005,0.038
0.134,0.078,0.103
0.280,0.277,0.242
0.285,0.291,0.253
0.033,0.031,0.064
0.147,0.137,0.147
0.302,0.320,0.273
0.447,0.473,0.405
0.024,0.016,0.049
0.141,0.115,0.132
0.262,0.248,0.223
0.445,0.469,0.402
0.012,0.012,0.045
0.145,0.141,0.150
0.287,0.343,0.290
0.408,0.524,0.462
0.149,0.088,0.111
0.327,0.400,0.336
0.409,0.458,0.390
0.003,0.006,0.039
0.134,0.070,0.097
0.278,0.257,0.229
0.283,0.248,0.222
0.033,0.016,0.049
0.147,0.117,0.133
0.302,0.269,0.237
0.436,0.465,0.398
0.025,0.009,0.043
0.141,0.095,0.116
0.262,0.211,0.198
0.445,0.452,0.384
0.012,0.007,0.040
0.145,0.090,0.113
0.286,0.250,0.224
0.407,0.476,0.409
0.148,0.081,0.106
0.327,0.363,0.306
0.408,0.449,0.381
0.003,0.005,0.038
0.134,0.079,0.104
0.278,0.322,0.275
0.282,0.298,0.258
0.032,0.015,0.048
0.179,0.161,0.164
0.331,0.379,0.318
0.451,0.471,0.404
0.025,0.011,0.044
0.174,0.166,0.167
0.305,0.339,0.287
0.432,0.457,0.389
0.032,0.014,0.047
0.149,0.090,0.112
0.241,0.197,0.188
0.533,0.563,0.503
0.023,0.003,0.036
0.165,0.100,0.120
0.316,0.377,0.316
0.474,0.471,0.404
0.002,0.005,0.038
0.149,0.087,0.110
0.280,0.290,0.252
0.299,0.355,0.299
0.032,0.029,0.062
0.178,0.197,0.188
0.330,0.413,0.347
0.433,0.486,0.419
0.025,0.017,0.050
0.172,0.209,0.196
0.304,0.370,0.311
0.430,0.478,0.410
0.033,0.022,0.055
0.148,0.119,0.134
0.239,0.250,0.224
0.528,0.610,0.542
0.023,0.012,0.045
0.164,0.117,0.133
0.314,0.400,0.336
0.452,0.467,0.399
0.002,0.004,0.037
0.148,0.081,0.105
0.254,0.237,0.215
0.307,0.323,0.275
0.032,0.013,0.046
0.178,0.156,0.160
0.331,0.363,0.306
0.445,0.461,0.393
0.025,0.010,0.043
0.173,0.151,0.157
0.304,0.319,0.272
0.431,0.449,0.380
0.033,0.013,0.046
0.149,0.076,0.102
0.240,0.201,0.191
0.530,0.536,0.476
0.023,0.001,0.034
0.164,0.098,0.119
0.314,0.346,0.292
0.471,0.467,0.399
0.002,0.004,0.037
0.149,0.096,0.117
0.279,0.318,0.272
0.299,0.378,0.317
0.003,0.004,0.037
0.067,0.050,0.081
0.157,0.077,0.103
0.180,0.093,0.115
0.247,0.161,0.163
0.322,0.330,0.280
0.038,0.015,0.048
0.084,0.062,0.091
0.124,0.096,0.118
0.165,0.141,0.150
0.214,0.211,0.197
0.257,0.303,0.261
0.318,0.381,0.320
0.371,0.447,0.379
0.417,0.460,0.391
0.459,0.466,0.398
0.038,0.008,0.042
0.084,0.047,0.078
0.124,0.075,0.101
0.165,0.121,0.136
0.214,0.186,0.181
0.257,0.262,0.232
0.318,0.335,0.284
0.371,0.404,0.339
0.417,0.427,0.360
0.459,0.453,0.384
0.038,0.025,0.058
0.084,0.077,0.103
0.124,0.113,0.130
0.165,0.159,0.162
0.214,0.244,0.220
0.257,0.335,0.284
0.318,0.400,0.336
0.371,0.469,0.402
0.417,0.482,0.416
0.459,0.486,0.420
0.054,0.025,0.058
0.097,0.081,0.106
0.136,0.117,0.133
0.168,0.158,0.162
0.204,0.219,0.203
0.235,0.269,0.237
0.273,0.325,0.277
0.317,0.396,0.332
0.368,0.467,0.399
0.403,0.497,0.432
0.438,0.492,0.458
0.472,0.517,0.481
0.054,0.019,0.053
0.097,0.061,0.090
0.136,0.093,0.115
0.168,0.126,0.139
0.204,0.171,0.171
0.235,0.224,0.207
0.273,0.288,0.251
0.317,0.359,0.303
0.368,0.416,0.349
0.403,0.450,0.382
0.438,0.480,0.414
0.472,0.495,0.429
0.492,0.503,0.438
0.514,0.512,0.449
0.054,0.039,0.071
0.097,0.101,0.121
0.136,0.153,0.158
0.168,0.176,0.174
0.204,0.225,0.207
0.235,0.311,0.267
0.273,0.377,0.316
0.317,0.435,0.368
0.368,0.487,0.420
0.403,0.549,0.489
0.438,0.573,0.512
0.472,0.595,0.530
0.492,0.598,0.533
0.514,0.610,0.542
0.054,0.048,0.079
0.103,0.094,0.116
0.152,0.163,0.165
0.198,0.220,0.204
0.253,0.365,0.307
0.306,0.446,0.378
0.054,0.033,0.066
0.103,0.072,0.099
0.152,0.131,0.143
0.198,0.178,0.176
0.253,0.300,0.259
0.306,0.374,0.314
0.368,0.424,0.357
0.408,0.468,0.400
0.453,0.491,0.425
0.494,0.503,0.439
0.521,0.508,0.445
0.054,0.065,0.093
0.103,0.119,0.134
0.152,0.198,0.189
0.198,0.273,0.240
0.253,0.402,0.341
0.306,0.479,0.412
0.368,0.567,0.507
0.408,0.577,0.516
0.453,0.602,0.536
0.494,0.608,0.541
0.010,0.006,0.040
0.096,0.081,0.106
0.190,0.227,0.209
0.280,0.331,0.281
0.325,0.391,0.328
0.395,0.459,0.391
0.010,0.006,0.040
0.096,0.084,0.108
0.190,0.233,0.212
0.280,0.334,0.283
0.325,0.393,0.330
0.395,0.461,0.393
0.010,0.008,0.041
0.096,0.090,0.113
0.190,0.241,0.218
0.280,0.342,0.289
0.325,0.399,0.335
0.395,0.464,0.396
0.010,0.008,0.041
0.096,0.090,0.113
0.190,0.242,0.218
0.280,0.342,0.289
0.325,0.399,0.335
0.395,0.464,0.396
0.010,0.017,0.051
0.096,0.108,0.126
0.190,0.271,0.238
0.280,0.347,0.293
0.325,0.407,0.342
0.395,0.460,0.392
0.010,0.018,0.052
0.096,0.117,0.133
0.190,0.288,0.250
0.280,0.352,0.297
0.325,0.413,0.347
0.395,0.464,0.396
0.021,0.044,0.075
0.096,0.154,0.159
0.190,0.328,0.279
0.280,0.364,0.306
0.325,0.433,0.365
0.395,0.465,0.397
0.021,0.026,0.060
0.096,0.101,0.121
0.190,0.247,0.222
0.280,0.316,0.270
0.325,0.376,0.315
0.395,0.433,0.366