sand,clay,textural_class,L,a,b,lat,lon
29.00,25.00,Loam,40.37,5.12,10.55,38.71337,-97.43272
44.00,18.00,Loam,46.02,7.85,15.62,38.71386,-97.43394
48.00,13.00,Loam,46.32,7.70,15.25,38.71342,-97.436
47.00,15.00,Loam,42.72,7.00,13.28,38.71383,-97.43282
41.00,18.00,Loam,46.80,7.17,14.60,38.71338,-97.43371
26.00,18.00,Silt loam,46.15,6.82,13.87,38.7129,-97.43597
33.00,15.00,Silt loam,47.55,7.33,14.92,38.71344,-97.43665
21.00,25.00,Silt loam,37.43,4.72,9.25,38.7128,-97.43479
30.00,18.00,Silt loam,43.92,6.90,14.93,38.71387,-97.43455
26.00,25.00,Loam,44.52,6.32,13.50,38.71283,-97.43296
36.00,15.00,Loam,47.82,7.65,15.63,38.71286,-97.43667
16.00,25.00,Silt loam,41.87,5.68,11.33,38.71221,-97.43545
23.00,25.00,Silt loam,42.07,6.12,12.33,38.71289,-97.43538
47.00,13.00,Loam,42.33,7.40,14.48,38.71341,-97.43539
23.00,28.00,Clay loam,40.35,5.73,11.42,38.71479,-97.43558
34.00,20.00,Loam,34.73,5.25,10.72,38.71387,-97.43565
35.00,20.00,Loam,37.75,5.48,11.25,38.71516,-97.43327
32.00,20.00,Loam,41.13,5.87,12.05,38.71337,-97.43307
43.00,15.00,Loam,46.47,7.57,16.18,38.71337,-97.43478
38.00,15.00,Loam,49.78,8.40,17.57,38.71474,-97.43434
42.00,18.00,Loam,45.32,7.37,15.40,38.71557,-97.43444
41.00,15.00,Loam,43.10,7.00,14.58,38.71426,-97.43385
37.00,18.00,Loam,43.53,6.33,13.48,38.71474,-97.43313
36.00,22.00,Loam,43.30,6.95,14.17,38.71476,-97.43369
26.00,24.00,Silt loam,45.73,6.83,14.73,38.71337,-97.4343
24.00,26.00,Silt loam,45.52,6.55,13.70,38.71522,-97.43554
13.00,31.00,Silty clay loam,37.93,5.17,10.47,38.71526,-97.43616
33.00,20.00,Loam,48.12,7.10,15.55,38.71515,-97.43487
24.00,27.00,Loam,41.58,6.25,13.05,38.71476,-97.43499
45.00,19.00,Loam,44.80,6.67,14.23,38.7139,-97.43508
15.00,27.00,Silt loam,42.33,6.22,12.63,38.71444,-97.43668
17.00,33.00,Silty clay loam,40.65,5.20,10.98,38.71422,-97.43303
20.00,27.00,Silt loam,43.37,6.50,12.98,38.71439,-97.43613
35.00,20.00,Loam,47.43,7.85,15.85,38.71554,-97.43391
32.00,23.00,Loam,42.47,6.30,12.28,38.71434,-97.43561
17.00,28.00,Silty clay loam,40.32,5.68,11.25,38.71531,-97.43665
38.00,19.00,Loam,49.13,7.68,16.35,38.71517,-97.43373
45.00,16.00,Loam,50.12,8.17,17.20,38.71518,-97.43437
35.00,20.00,Loam,47.30,7.28,15.42,38.71426,-97.43439
18.00,27.00,Silt loam,41.62,6.03,11.67,38.71487,-97.43662
17.00,24.00,Silt loam,44.83,6.70,13.87,38.71399,-97.43672
37.00,24.00,Loam,44.58,6.67,13.90,38.71558,-97.43507
30.00,23.00,Loam,43.08,6.07,12.50,38.71557,-97.43334
18.00,24.00,Silt loam,42.03,6.05,12.57,38.71399,-97.43649
22.00,23.00,Silt loam,46.10,7.07,14.52,38.71428,-97.43497
33.00,26.00,Loam,43.47,6.43,13.58,38.71384,-97.43337
17.00,33.00,Silty clay loam,43.85,5.77,11.25,38.71234,-97.43359
22.00,28.00,Clay loam,47.15,6.77,14.70,38.71236,-97.43301
20.00,32.00,Silty clay loam,42.55,5.13,10.30,38.71227,-97.43486
20.00,32.00,Silty clay loam,45.65,6.07,12.80,38.7118,-97.43387
27.00,23.00,Loam,41.58,5.72,11.33,38.71184,-97.43507
21.00,26.00,Silt loam,46.98,6.42,13.67,38.71181,-97.43565
28.00,26.00,Loam,43.72,6.15,12.47,38.71286,-97.43356
33.00,23.00,Loam,45.10,7.12,13.98,38.71183,-97.43626
31.00,18.00,Silt loam,48.52,7.75,15.42,38.71184,-97.43672
21.00,39.00,Clay loam,47.88,6.08,13.33,38.71179,-97.43335
42.00,20.00,Loam,45.33,7.00,14.62,38.71133,-97.43392
22.00,32.00,Clay loam,44.02,5.77,11.85,38.71182,-97.43446
26.00,24.00,Loam,45.27,6.65,13.67,38.71132,-97.43567
23.00,33.00,Clay loam,44.62,5.50,10.93,38.71231,-97.43432
28.00,29.00,Clay loam,47.13,6.65,14.07,38.71139,-97.43452
18.00,18.00,Silt loam,48.63,7.55,14.78,38.71131,-97.43674
36.00,15.00,Loam,47.07,6.78,13.97,38.7123,-97.43608
39.00,23.00,Loam,48.95,7.65,15.00,38.71231,-97.43669
36.00,32.00,Clay loam,48.33,6.53,14.52,38.71141,-97.43336
21.00,32.00,Clay loam,43.03,5.48,11.28,38.71285,-97.4341
22.00,23.00,Silt loam,46.82,6.68,14.30,38.71133,-97.43513
18.00,31.00,Silty clay loam,45.20,5.93,12.73,38.71181,-97.43273
48.00,18.00,Loam,47.63,7.48,15.27,38.71132,-97.43623
26.00,32.00,Clay loam,44.70,5.90,12.42,38.71138,-97.43279
23.00,32.00,Clay loam,46.15,8.72,16.65,38.71798,-97.43542
27.00,24.00,Loam,45.02,6.73,14.23,38.71767,-97.43393
17.00,31.00,Silty clay loam,44.43,6.30,12.52,38.71548,-97.43631
40.00,20.00,Loam,48.37,7.60,16.33,38.71591,-97.434
38.00,25.00,Loam,47.03,6.65,14.02,38.7168,-97.43507
39.00,29.00,Clay loam,44.43,9.30,18.28,38.71733,-97.43668
16.00,18.00,Silt loam,43.13,5.67,11.22,38.71797,-97.43487
19.00,32.00,Silty clay loam,45.35,6.27,12.83,38.71594,-97.43567
18.00,30.00,Silty clay loam,42.38,6.12,11.63,38.71552,-97.43671
24.00,28.00,Clay loam,43.80,5.87,11.82,38.71768,-97.43611
19.00,31.00,Silty clay loam,42.68,5.77,11.02,38.71686,-97.43662
17.00,32.00,Silty clay loam,43.65,5.72,11.30,38.71592,-97.43618
34.00,27.00,Loam,46.28,6.45,13.77,38.71641,-97.43519
46.00,21.00,Loam,46.48,7.67,15.43,38.71769,-97.43448
41.00,22.00,Loam,47.87,7.58,14.97,38.71762,-97.43505
13.00,33.00,Silty clay loam,43.52,5.42,10.93,38.7155,-97.43666
32.00,23.00,Loam,44.97,6.98,14.27,38.71645,-97.43517
18.00,30.00,Silty clay loam,41.35,5.55,11.13,38.7173,-97.43571
13.00,30.00,Silty clay loam,43.42,5.70,11.23,38.71798,-97.43631
24.00,33.00,Clay loam,42.90,6.92,13.85,38.7159,-97.4365
37.00,22.00,Loam,44.88,7.07,14.27,38.71793,-97.43349
25.00,31.00,Clay loam,45.02,6.07,13.78,38.71794,-97.43382
37.00,31.00,Clay loam,47.37,8.08,17.82,38.71794,-97.43433
19.00,24.00,Silt loam,42.25,5.73,12.35,38.71684,-97.43351
30.00,28.00,Clay loam,43.52,7.58,14.92,38.71798,-97.43597
18.00,28.00,Silty clay loam,44.22,5.90,11.72,38.71648,-97.43623
35.00,20.00,Loam,45.60,7.12,14.32,38.71725,-97.43467
45.00,15.00,Loam,45.50,7.22,14.33,38.71725,-97.43413
19.00,26.00,Silt loam,43.67,6.02,11.72,38.71593,-97.43671
34.00,19.00,Loam,45.05,6.70,14.32,38.71593,-97.43455
30.00,23.00,Loam,43.32,5.92,11.95,38.71684,-97.43556
40.00,19.00,Loam,45.60,7.13,14.50,38.71679,-97.43398
34.00,26.00,Loam,46.92,6.42,13.62,38.71722,-97.4335
22.00,28.00,Clay loam,42.82,5.95,11.63,38.71549,-97.43576
38.00,18.00,Loam,45.05,6.57,13.57,38.71634,-97.43359
26.00,30.00,Clay loam,46.55,6.65,14.65,38.71594,-97.43512
36.00,22.00,Loam,47.52,7.40,15.78,38.7168,-97.43452
46.00,18.00,Loam,45.02,7.25,14.73,38.71637,-97.43411
45.00,19.00,Loam,46.55,7.17,14.75,38.7164,-97.43465
26.00,27.00,Loam,42.47,5.82,11.47,38.71651,-97.43664
23.00,28.00,Clay loam,42.88,5.65,11.47,38.71685,-97.4361
29.00,23.00,Loam,44.37,5.85,11.92,38.71725,-97.43575
32.00,23.00,Loam,45.02,6.22,12.77,38.71766,-97.43558